Date_Evaluated,Gameweek,Matches,Accuracy,Log_Loss,Brier_H,Brier_D,Brier_A,Goals_MAE,Weighted_Acc,Weighted_Loss,Rolling_Acc,Rolling_Loss
2026-05-17 10:56,1,4,0.25,1.022109143892169,0.36021844674569226,0.2184999635433429,0.08552623886306654,0.5564538391846047,1.0,4.088436575568676,,
2026-05-17 10:56,2,43,0.6511627906976745,0.7742966560599954,0.16939394387622825,0.1728080504509924,0.12350175785246215,1.1082482907501494,28.000000000000004,33.294756210579806,,
2026-05-17 10:56,3,10,0.5,0.6486170975373016,0.0785482092005579,0.19063121288703908,0.1063163710349552,0.904675987458581,5.0,6.486170975373016,,
2026-05-17 10:56,4,1,1.0,0.5912436388888787,0.1992387402129647,0.1246970139015182,0.008693143047660069,0.5091912062659973,1.0,0.5912436388888787,,
2026-05-17 10:56,5,1,1.0,0.3942846412241248,0.012213926571616728,0.10617031453358677,0.046363232342518684,0.5420208043929757,1.0,0.3942846412241248,0.6101694915254238,0.7602524074853306
2026-05-17 10:56,6,8,0.5,0.9906772139516756,0.1538541705719234,0.25370300008614827,0.2073919867096104,0.9509267378062557,4.0,7.925417711613405,0.6190476190476191,0.7728868758361782
2026-05-17 10:56,7,68,0.5441176470588235,0.8879985289963966,0.16963734325489738,0.17050776647176422,0.17712164456908158,1.0104724362411464,37.0,60.38389997175497,0.5454545454545454,0.8611479197597091
2026-05-17 10:56,8,17,0.5882352941176471,0.9795237176455039,0.2747317227058592,0.1536683080509481,0.16863163667159697,1.0608557551356228,10.0,16.651903199973567,0.5578947368421052,0.9047026227732099
2026-05-17 10:56,9,3,0.3333333333333333,0.8709478193371666,0.034678087327577115,0.3394226969817428,0.19935318319364667,0.8659643613227567,1.0,2.6128434580114996,0.5463917525773195,0.906890195696676
2026-05-17 10:56,10,12,0.6666666666666666,0.8232433722403499,0.11555181085309933,0.21046719854166632,0.18906744062137348,0.9645100989813198,8.0,9.8789204668842,0.5555555555555556,0.9023424519281263
2026-05-17 10:56,11,72,0.6527777777777778,0.7873572291141063,0.13945828971010682,0.1717827462403578,0.15991613070735822,0.9480747478422619,47.0,56.68972049621566,0.5988372093023255,0.8501005092606971
2026-05-17 10:56,12,33,0.42424242424242425,1.0022611992349308,0.1846274156194055,0.2068963063617972,0.21035679309744884,0.9881006183131934,14.0,33.07461957475272,0.583941605839416,0.8679416583637783
2026-05-17 10:56,13,7,0.2857142857142857,1.1160517186441707,0.1560660913509346,0.30213877182487053,0.2651138219042959,0.9333036463570801,2.0,7.812362030509195,0.5669291338582677,0.8666808348533327
2026-05-17 10:56,14,21,0.5238095238095238,1.0577498487429577,0.1636945308659424,0.13783452158499307,0.3002694803189777,0.9559233469141872,11.0,22.212746823602114,0.5655172413793104,0.8942646164963027
2026-05-17 10:56,15,2,0.5,0.6954561630656209,0.18532116924436556,0.22787517775863955,0.010878026991257252,1.0507291338326281,1.0,1.3909123261312417,0.5555555555555556,0.8976323055645253
2026-05-17 10:56,16,17,0.5882352941176471,0.7151200137645216,0.14951941208856454,0.13949818226189103,0.1306700865168866,0.8617606488148357,10.0,12.157040233996867,0.475,0.9580960123624017
2026-05-17 10:56,17,98,0.6428571428571429,0.8918942520954062,0.19163990983832024,0.19467099518979844,0.13254285535367152,1.0022832857803383,63.00000000000001,87.4056367053498,0.6,0.9033013663419948
2026-05-17 10:56,18,41,0.6829268292682927,0.8476149697227952,0.18614984840992554,0.2160929024005362,0.10164017771661871,0.888167112415211,28.000000000000004,34.7522137586346,0.6312849162011174,0.882226535462093
2026-05-17 10:56,19,12,0.75,0.5577604121351017,0.09440017088018872,0.10114519974087031,0.10621846639689837,0.9854613824328181,9.0,6.693124945621221,0.6529411764705884,0.8376407527631397
2026-05-17 10:56,20,1,0.0,1.3700855249034245,0.180806378665305,0.5563888470744863,0.10284941289224983,0.4109982121150746,0.0,1.3700855249034245,0.6508875739644971,0.8424739714112778
2026-05-17 10:56,21,23,0.5217391304347826,1.0034370907434624,0.2700629823726814,0.2724549296515322,0.080852084391851,1.093820097070317,12.0,23.079053087099638,0.6400000000000001,0.8760006515520496
2026-05-17 10:56,22,107,0.5420560747663551,0.9580137585541597,0.18217036065872413,0.19436533842780543,0.18431990519985783,1.0907856684709283,57.99999999999999,102.50747216529508,0.5815217391304348,0.9152279863127933
2026-05-17 10:56,23,54,0.7037037037037037,0.9136974377367412,0.16961693183051452,0.19806358015249326,0.15850228333388597,1.1487018948067649,38.0,49.339661637784026,0.5939086294416244,0.9288801896482405
2026-05-17 10:56,24,2,0.5,1.3135310405262763,0.08585392082518446,0.4230005674230604,0.1491642841453224,0.825444682962154,1.0,2.6270620810525527,0.5828877005347594,0.9568092753803997
2026-05-17 10:56,25,2,1.0,0.662546147912514,0.11020130114955873,0.11423731444005189,0.14664048010382033,0.9923983610848977,2.0,1.325092295825028,0.5904255319148937,0.951480538654555
2026-05-17 10:56,26,26,0.46153846153846156,1.0949458968390464,0.24188624935604341,0.2082039989076927,0.20181566073152166,1.1340738133115544,12.0,28.468593317815206,0.581151832460733,0.964753306271057
